coin_name,website,ip,org,city,country,region,loc,postal,timezone,ip_location_error,hostname,anycast
Myriad,http://myriadcoin.org,207.246.82.224,"AS20473 The Constant Company, LLC",Houston,US,Texas,"29.7633,-95.3633",77052,America/Chicago,Error,207.246.82.224.vultr.com,
Myriad,http://myriadcoin.org,207.246.82.224,"AS20473 The Constant Company, LLC",Houston,US,Texas,"29.7633,-95.3633",77052,America/Chicago,Error,207.246.82.224.vultr.com,
Myriad,http://myriadcoin.org,207.246.82.224,"AS20473 The Constant Company, LLC",Houston,US,Texas,"29.7633,-95.3633",77052,America/Chicago,Error,207.246.82.224.vultr.com,
Myriad,http://myriadcoin.org,207.246.82.224,"AS20473 The Constant Company, LLC",Houston,US,Texas,"29.7633,-95.3633",77052,America/Chicago,Error,207.246.82.224.vultr.com,
Myriad,http://myriadcoin.org,207.246.82.224,"AS20473 The Constant Company, LLC",Houston,US,Texas,"29.7633,-95.3633",77052,America/Chicago,Error,207.246.82.224.vultr.com,
GoldCoin,https://www.goldcoinproject.org,104.21.74.177,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
Cannabiscoin,http://cannabiscoin.net,172.67.129.55,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
Litecoin Cash,https://litecoinca.sh,172.67.133.92,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
Dagger,http://xdag.io,185.199.108.153,AS54113 Fastly,San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,,cdn-185-199-108-153.github.com,True
e-Gulden,https://www.e-gulden.org,81.169.145.165,AS6724 Strato AG,Karlsruhe,DE,Baden-Württemberg,"49.0094,8.4044",76133,Europe/Berlin,Error,wa5.rzone.de,
VeriBlock,https://www.veriblock.org,149.56.37.134,AS16276 OVH SAS,Montréal,CA,Quebec,"45.5088,-73.5878",H2W,America/Toronto,Error,veriblock.com,
Auroracoin,http://auroracoin.is,46.101.37.213,"AS14061 DigitalOcean, LLC",London,GB,England,"51.5085,-0.1257",EC1A,Europe/London,Error,ap4.apmedia.is,
Auroracoin,http://auroracoin.is,46.101.37.213,"AS14061 DigitalOcean, LLC",London,GB,England,"51.5085,-0.1257",EC1A,Europe/London,Error,ap4.apmedia.is,
Auroracoin,http://auroracoin.is,46.101.37.213,"AS14061 DigitalOcean, LLC",London,GB,England,"51.5085,-0.1257",EC1A,Europe/London,Error,ap4.apmedia.is,
Auroracoin,http://auroracoin.is,46.101.37.213,"AS14061 DigitalOcean, LLC",London,GB,England,"51.5085,-0.1257",EC1A,Europe/London,Error,ap4.apmedia.is,
Auroracoin,http://auroracoin.is,46.101.37.213,"AS14061 DigitalOcean, LLC",London,GB,England,"51.5085,-0.1257",EC1A,Europe/London,Error,ap4.apmedia.is,
xRhodium,https://www.xrhodium.org,151.139.128.11,"AS20446 Highwinds Network Group, Inc.",Dallas,US,Texas,"32.7904,-96.8044",75201,America/Chicago,Error,,True
Expanse,https://expanse.tech,172.67.162.101,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
